Athlete	CountryCode	Medals
clint robinson, nathan baggaley	AUS	1
clyde hefer, stephen evans, james battersby, ian edmunds, craig muller, sam patten, ion popa, gavin thredgold, timothy willoughby	AUS	1
clyde scott	USA	1
colette besson	FRA	1
colin jackson	GBR	1
colin smith, tom stallard, josh west, matthew langridge, tom lucy, alex partridge, alastair heathcote, richard egington	GBR	1
colin von ettingshausen, peter h?ltzenbein	GER	1
colleen lanne, kara lynn joyce, maritza correia, lindsay benko, natalie coughlin, amanda weir, jenny thompson	USA	1
con cochran, alan helffrich, oliver macdonald, bill stevenson	USA	1
conny van bentum, desi reijers, annemarie verstappen, elles voskes	NED	1
conny van bentum, marianne muis, mildred muis, karin brienese	NED	1
conny van bentum, wilma van velsen, reggie de jong, annelies maas	NED	1
conny wassmuth, katrin wagner, fanny fischer, nicole reinhardt	GER	1
conrad robertson, shane o'brien, les o'connell, keith trask	NZL	1
constance titus	USA	1
constanta burcica-pipota, angela alupei	ROM	1
constanta burcica-pipota, camelia macoviciuc	ROM	1
constantina tomescu	ROM	1
cornelia polit	GDR	1
cornelia sideri, hilde lauer	ROM	1
cornelia sirch	GDR	2
costica olaru	ROM	1
courtney shealy, ashley tappin, dara torres, erin phenix, amy van dyken, jenny thompson	USA	1
craig dixon	USA	1
crissy ahmann-leighton	USA	1
cristiena cojocaru	ROM	1
cristina teuscher	USA	1
csaba giczi, istv?n tim?r	HUN	1
csaba horv?th, gy?rgy kolonics	HUN	2
cullen jones	USA	1
curtis myden	CAN	3
cyril gill, jack london, edward smouha, walter rangeley	GBR	1
cyril stiles, fred thompson	NZL	1
dagmar hase	GER	5
daichi suzuki	JPN	1
dana schoenfield	USA	1
dana vollmer	USA	1
dana vollmer, allison schmitt, missy franklin, shannon vreeland	USA	1
dana vollmer, allison schmitt, rebecca soni, missy franklin	USA	1
dana vollmer, rhi jeffrey, lindsay benko, natalie coughlin, carly piper, kaitlin sandeno, rachel komisarz	USA	1
daniela hunger	GDR	2
daniela hunger	GER	1
daniela hunger, kathrin mei?ner, kristin otto, manuela stellmach	GDR	1
daniela neunast, ute wild, ute wagner-stange, beatrix schr?er, annegret strauch, ramona balthasar, anja kluge, kathrin haacker, judith zeidler	GDR	1
daniela walkowiak?wna	POL	1
daniel barrow	USA	1
daniel bautista	MEX	1
daniele scarpa, antonio rossi	ITA	1
daniel gyurta	HUN	2
daniel harrigan	USA	1
daniel jedraszko, pawel baraszkiewicz	POL	1
daniel kowalski	AUS	3
daniel plaza	ESP	1
daniel sangouma, gilles qu?n?herv?, max morini?re, bruno marie-rose	FRA	1
dan kinsey	USA	1
danny collins, andrew trim	AUS	1
danny everett	USA	1
danny harris	USA	1
danny mcfarlane	JAM	1
danuta kozak	HUN	1
danut dobre, marin gheorghe, vasile lonel mastacan, claudiu gabriel marin, vasile dorel nastase, loan lulian vizitiu, iulica ruican, viorel talapan, valentin robu	ROM	1
danyon loader	NZL	3
daphne hasenjager	SAF	1
dara torres	USA	4
